Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
cutmix_r_test,noise,ptv1,impulse,1,0.7917341977309562,0.719063953488372
cutmix_r_test,noise,ptv1,impulse,2,0.7880875202593193,0.7239418604651162
cutmix_r_test,noise,ptv1,impulse,3,0.796191247974068,0.7321453488372093
cutmix_r_test,noise,ptv1,impulse,4,0.7755267423014587,0.7026162790697674
cutmix_r_test,noise,ptv1,impulse,5,0.7536466774716369,0.6759476744186046
cutmix_r_test,density,ptv1,lidar,1,0.24351701782820098,0.2603313953488372
cutmix_r_test,density,ptv1,lidar,2,0.25729335494327393,0.2658720930232558
cutmix_r_test,density,ptv1,lidar,3,0.2520259319286872,0.24474999999999997
cutmix_r_test,density,ptv1,lidar,4,0.22163695299837927,0.2175406976744186
cutmix_r_test,density,ptv1,lidar,5,0.20097244732576985,0.20229069767441862
cutmix_r_test,density,ptv1,occlusion,1,0.34764991896272285,0.3708662790697674
cutmix_r_test,density,ptv1,occlusion,2,0.3833063209076175,0.39311046511627906
cutmix_r_test,density,ptv1,occlusion,3,0.3472447325769854,0.3625
cutmix_r_test,density,ptv1,occlusion,4,0.3148298217179903,0.3365
cutmix_r_test,density,ptv1,occlusion,5,0.3002431118314425,0.3345406976744186
cutmix_r_test,transform,ptv1,rotation,1,0.7710696920583469,0.6965872093023255
cutmix_r_test,transform,ptv1,rotation,2,0.7787682333873582,0.7083255813953488
cutmix_r_test,transform,ptv1,rotation,3,0.7670178282009724,0.7071104651162792
cutmix_r_test,transform,ptv1,rotation,4,0.7106969205834684,0.6517093023255814
cutmix_r_test,transform,ptv1,rotation,5,0.49027552674230146,0.45678488372093023
cutmix_r_test,transform,ptv1,shear,1,0.7593192868719612,0.6879302325581396
cutmix_r_test,transform,ptv1,shear,2,0.7678282009724473,0.701796511627907
cutmix_r_test,transform,ptv1,shear,3,0.7378444084278768,0.6735116279069768
cutmix_r_test,transform,ptv1,shear,4,0.6973257698541329,0.6331453488372093
cutmix_r_test,transform,ptv1,shear,5,0.646677471636953,0.5809476744186046
cutmix_r_test,noise,ptv1,uniform,1,0.7585089141004863,0.6865174418604651
cutmix_r_test,noise,ptv1,uniform,2,0.7585089141004863,0.6812209302325583
cutmix_r_test,noise,ptv1,uniform,3,0.7512155591572123,0.6776860465116279
cutmix_r_test,noise,ptv1,uniform,4,0.7512155591572123,0.6779709302325582
cutmix_r_test,noise,ptv1,uniform,5,0.7350081037277147,0.6552209302325581
cutmix_r_test,noise,ptv1,upsampling,1,0.7572933549432739,0.6862151162790697
cutmix_r_test,noise,ptv1,upsampling,2,0.7524311183144247,0.6798023255813954
cutmix_r_test,noise,ptv1,upsampling,3,0.7394651539708266,0.6737674418604651
cutmix_r_test,noise,ptv1,upsampling,4,0.7058346839546191,0.6477848837209301
cutmix_r_test,noise,ptv1,upsampling,5,0.5547001620745543,0.5235523255813954
mixup_test,noise,ptv1,background,1,0.30834683954619124,0.2146918604651163
mixup_test,noise,ptv1,background,2,0.2799837925445705,0.1906220930232558
mixup_test,noise,ptv1,background,3,0.260129659643436,0.17400581395348835
mixup_test,noise,ptv1,background,4,0.23905996758508913,0.16080232558139534
mixup_test,noise,ptv1,background,5,0.19854132901134522,0.12947674418604654
mixup_test,density,ptv1,cutout,1,0.8942463533225283,0.8463372093023256
mixup_test,density,ptv1,cutout,2,0.8865478119935171,0.8362151162790699
mixup_test,density,ptv1,cutout,3,0.8666936790923825,0.8136976744186046
mixup_test,density,ptv1,cutout,4,0.8440032414910859,0.7891627906976744
mixup_test,density,ptv1,cutout,5,0.8067260940032415,0.7470581395348838
mixup_test,density,ptv1,density,1,0.8869529983792545,0.8376802325581396
mixup_test,density,ptv1,density,2,0.8731766612641815,0.8233546511627907
mixup_test,density,ptv1,density,3,0.8525121555915721,0.795406976744186
mixup_test,density,ptv1,density,4,0.8221231766612642,0.7579767441860465
mixup_test,density,ptv1,density,5,0.7759319286871961,0.7081976744186047
mixup_test,density,ptv1,density_inc,1,0.880064829821718,0.8328139534883722
mixup_test,density,ptv1,density_inc,2,0.8804700162074555,0.832639534883721
mixup_test,density,ptv1,density_inc,3,0.8812803889789304,0.8298081395348837
mixup_test,density,ptv1,density_inc,4,0.8788492706645057,0.8336337209302325
mixup_test,density,ptv1,density_inc,5,0.8594003241491086,0.8109476744186047
mixup_test,transform,ptv1,distortion,1,0.7548622366288493,0.6709999999999999
mixup_test,transform,ptv1,distortion,2,0.7674230145867099,0.6927732558139535
mixup_test,transform,ptv1,distortion,3,0.7487844408427877,0.6745348837209303
mixup_test,transform,ptv1,distortion,4,0.7256888168557536,0.6534186046511629
mixup_test,transform,ptv1,distortion,5,0.6819286871961102,0.6066046511627907
mixup_test,transform,ptv1,distortion_rbf,1,0.7544570502431118,0.6738372093023256
mixup_test,transform,ptv1,distortion_rbf,2,0.7629659643435981,0.6776104651162791
mixup_test,transform,ptv1,distortion_rbf,3,0.7455429497568882,0.6603779069767443
mixup_test,transform,ptv1,distortion_rbf,4,0.7374392220421394,0.6600116279069768
mixup_test,transform,ptv1,distortion_rbf,5,0.7111021069692058,0.6448546511627906
mixup_test,transform,ptv1,distortion_rbf_inv,1,0.75,0.6756220930232557
mixup_test,transform,ptv1,distortion_rbf_inv,2,0.7649918962722853,0.6873313953488372
mixup_test,transform,ptv1,distortion_rbf_inv,3,0.7540518638573744,0.6790348837209302
mixup_test,transform,ptv1,distortion_rbf_inv,4,0.736223662884927,0.6624709302325581
mixup_test,transform,ptv1,distortion_rbf_inv,5,0.7273095623987034,0.664796511627907
mixup_test,noise,ptv1,gaussian,1,0.893030794165316,0.8472151162790699
mixup_test,noise,ptv1,gaussian,2,0.8950567260940032,0.8405872093023256
mixup_test,noise,ptv1,gaussian,3,0.8869529983792545,0.8234244186046512
mixup_test,noise,ptv1,gaussian,4,0.8646677471636953,0.7842209302325581
mixup_test,noise,ptv1,gaussian,5,0.8399513776337115,0.7543953488372093
mixup_test,noise,ptv1,impulse,1,0.6957050243111832,0.5941337209302325
mixup_test,noise,ptv1,impulse,2,0.6855753646677472,0.5962616279069767
mixup_test,noise,ptv1,impulse,3,0.663290113452188,0.561482558139535
mixup_test,noise,ptv1,impulse,4,0.6187196110210696,0.5111511627906976
mixup_test,noise,ptv1,impulse,5,0.5380875202593193,0.4332674418604651
mixup_test,density,ptv1,lidar,1,0.24837925445705025,0.22273837209302325
mixup_test,density,ptv1,lidar,2,0.32050243111831445,0.2842674418604651
mixup_test,density,ptv1,lidar,3,0.3253646677471637,0.29016279069767437
mixup_test,density,ptv1,lidar,4,0.2552674230145867,0.23733139534883724
mixup_test,density,ptv1,lidar,5,0.23905996758508913,0.21799999999999997
mixup_test,density,ptv1,occlusion,1,0.36142625607779577,0.3745174418604651
mixup_test,density,ptv1,occlusion,2,0.4100486223662885,0.399203488372093
mixup_test,density,ptv1,occlusion,3,0.41491085899513774,0.41673255813953486
mixup_test,density,ptv1,occlusion,4,0.3525121555915721,0.3617906976744186
mixup_test,density,ptv1,occlusion,5,0.31888168557536467,0.3280348837209302
mixup_test,transform,ptv1,rotation,1,0.7755267423014587,0.6974883720930233
mixup_test,transform,ptv1,rotation,2,0.7751215559157212,0.6892267441860465
mixup_test,transform,ptv1,rotation,3,0.7508103727714749,0.6824011627906976
mixup_test,transform,ptv1,rotation,4,0.6811183144246353,0.6118837209302326
mixup_test,transform,ptv1,rotation,5,0.48500810372771475,0.43506395348837207
mixup_test,transform,ptv1,shear,1,0.7544570502431118,0.6766686046511627
mixup_test,transform,ptv1,shear,2,0.7431118314424635,0.6594941860465117
mixup_test,transform,ptv1,shear,3,0.720421393841167,0.6349709302325582
mixup_test,transform,ptv1,shear,4,0.7017828200972447,0.6173895348837208
mixup_test,transform,ptv1,shear,5,0.6511345218800648,0.5668662790697674
mixup_test,noise,ptv1,uniform,1,0.7516207455429498,0.675517441860465
mixup_test,noise,ptv1,uniform,2,0.7370340356564019,0.6559302325581395
mixup_test,noise,ptv1,uniform,3,0.7098865478119936,0.6256046511627907
mixup_test,noise,ptv1,uniform,4,0.6596434359805511,0.5788313953488372
mixup_test,noise,ptv1,uniform,5,0.6191247974068071,0.5177558139534882
mixup_test,noise,ptv1,upsampling,1,0.7524311183144247,0.6719186046511628
mixup_test,noise,ptv1,upsampling,2,0.7370340356564019,0.6522558139534883
mixup_test,noise,ptv1,upsampling,3,0.729740680713128,0.6405174418604651
mixup_test,noise,ptv1,upsampling,4,0.7151539708265803,0.6221453488372093
mixup_test,noise,ptv1,upsampling,5,0.6239870340356564,0.5430581395348837
rsmix_test,noise,ptv1,background,1,0.7074554294975689,0.5837209302325581
rsmix_test,noise,ptv1,background,2,0.6762560777957861,0.5576162790697674
rsmix_test,noise,ptv1,background,3,0.6373581847649918,0.5005348837209302
rsmix_test,noise,ptv1,background,4,0.5725283630470016,0.44293023255813957
rsmix_test,noise,ptv1,background,5,0.41936790923824957,0.3114825581395349
rsmix_test,density,ptv1,cutout,1,0.9055915721231766,0.8620058139534883
rsmix_test,density,ptv1,cutout,2,0.896677471636953,0.8459244186046512
rsmix_test,density,ptv1,cutout,3,0.8926256077795786,0.844970930232558
rsmix_test,density,ptv1,cutout,4,0.890194489465154,0.8408023255813954
rsmix_test,density,ptv1,cutout,5,0.869935170178282,0.8216918604651162
